artist_name,track_name,track_id,track_popularity,artist_id
Britney Spears,Work Bitch,3KliPMvk1EvFZu9cvkj8p1,71,26dSoYclwsYLMAKD3tpOr4
Dua Lipa,Physical,3AzjcOeAmA57TIOr9zF1ZW,77,6M2wZ9GZgrQXHCFfjv46we
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,92,1Xyo4u8uXC1ZmMpatF05PJ
Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,88,1vCWHaC5f2uS3yhpwWbIA6
Kanye West,POWER,2gZUPNdnz5Y45eiGxpHGSc,80,5K4W6rqBFWDnAN6FQUkS6x
DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,84,6T5tfhQCknKG4UnH90qGnz
Lucy Spraggan,Run,6izndsBZvyN6goqhfePz1e,51,3QLPy7F0m9XgChp2Lk9B3N
Jax Jones,You Don't Know Me (feat. RAYE),4DJORZgsbqnEJ4f4B9TBGV,68,4Q6nIcaBED8qUel8bBx6Cr
Survivor,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,78,26bcq2nyj5GB7uRr558iQg
Taylor Swift,Shake It Off,0cqRj7pUJDkTCEsJkx8snD,87,06HL4z0CvFAxyc27GXpf02
Black Eyed Peas,Pump It,2ygMBIctKIAfbEBcT9065L,79,1yxSLGMDHlW21z4YXirZDS
Kygo,Higher Love,1kKYjjfNYxE0YYgLa7vgVY,74,23fqKkggKUBHNkbKtXEls4
Jess Glynne,I'll Be There - Cahill Remix,7gEbuXht8gYcA5OdN9zUpy,63,4ScCswdRlyA23odg9thgIO
Charli XCX,Speed Drive (From Barbie The Album),5VxmI3IdgAxWVvUnJoLuY2,89,25uiPmTg16RbhZWAqwLBy5
The Chainsmokers,Roses (feat. ROZES) - Zaxx Remix,5MgBUUjbkQ27Kd9CbeZFLo,58,69GGBxA162lTqCwzJG5jLp
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,85,5BcAKTbp20cv7tC5VqPFoC
John Legend,All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,1mzGywacjpeik00PVLBPpF,64,5y2Xq6xcjJb2jVM54GHK3t
Woodkid,Run Boy Run,0boS4e6uXwp3zAvz1mLxZS,73,44TGR1CzjKBxSHsSEy7bi9
Bill Conti,"Gonna Fly Now - Theme From ""Rocky""",7iXYRR70wewzVYzWScm99j,64,272ygo5fv9cYsiCLcV0HV2
Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,83,7CajNmpbOovFoOoasH2HaY
Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,87,06HL4z0CvFAxyc27GXpf02
Rudimental,Waiting All Night (feat. Ella Eyre),6yraFyhgbavO2amB2lhpfi,68,4WN5naL3ofxrVBgFpguzKo
Sia,Unstoppable,2J2Z1SkXYghSajLibnQHOa,82,5WUlDfRSoLAfcVSX1WnrxN
Kanye West,Stronger,0j2T0R9dR9qdJYsB7ciXhf,84,5K4W6rqBFWDnAN6FQUkS6x
Ella Eyre,If I Go,4R6TWBDqFeJBQnBtha4zDh,50,66TrUkUZ3RM29dqeDQRgyA
Lizzo,2 Be Loved (Am I Ready),13Irp51zj01BZu2XtDrnAg,77,56oDRnqbIiwx4mymNEv7dS
Jax Jones,Breathe (feat. Ina Wroldsen),4Vbz3osCh6DwHYv5gVv5H2,60,4Q6nIcaBED8qUel8bBx6Cr
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,57yeWyaoeTt26p0dlEZukQ,74,1moxjboGR7GNWYIMWsRjgG
Nathan Dawe,0800 HEAVEN,2Vewxhl9sD0IhO9Az4qLS5,80,2gduEC76ry33RVurAvT05p
Bill Conti,"Going The Distance - From ""Rocky"" Soundtrack / Remastered 2006",0WKpYDw1WNmQbFiEURDgeI,63,272ygo5fv9cYsiCLcV0HV2
Calvin Harris,Desire (with Sam Smith),22dUzMFttcR3uU17NcOAIv,87,7CajNmpbOovFoOoasH2HaY
Lady Gaga,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,76,1HY2Jd0NmPuamShAr6KMms
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,80,31TPClRtHm23RisEBtV3X7
Lucas Estrada,Hurricane - Lucas Estrada VIP Mix,2QsZwIY3oncsQSH0EMmUPr,58,2tndYCXQneCV4jtoWRwVpz
Naughty Boy,Runnin' (Lose It All),5yZvaUVyuXfSVUaMumFi6l,69,1bT7m67vi78r2oqvxrP3X5
WALK THE MOON,Work This Body,76EeScTnI2sCjDY0SfEoSb,65,6DIS6PRrLS3wbnZsf7vYic
Taylor Swift,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,85,06HL4z0CvFAxyc27GXpf02
Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,84,6M2wZ9GZgrQXHCFfjv46we
Ian Storm,Run Away,0b02ZHphmQGm0lRtHyDDTH,48,6fllSzvyC7OruOFZisOELq
Forest Blakk,If You Love Her - Mark McCabe Remix,2MaGdDg1cbXTywMf93cEZt,59,7q7IUe2AqtifSZ2q52kHFc
Elton John,Cold Heart - Claptone Remix,3ck2KxuP99yTwWzdf8piiC,64,3PhoLpVuITZKcymswpck5b
P!nk,TRUSTFALL,1gUwi1o1S9W9P0FQgJdY8s,77,1KCSPY1glIKqW2TotWuXOR
Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,80,6DgP9otnZw5z6daOntINxp
Martin Jensen,What A Night,2KRZKioWRWSmqo01Uq32RN,56,4ehtJnVumNf6xzSCDk8aLB
Calvin Harris,Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,83,7CajNmpbOovFoOoasH2HaY
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",12PNcnMsjsZ3eHm62t8hiy,71,0QHgL1lAIqAw0HtD7YldmP
Miley Cyrus,Flowers,4DHcnVTT87F0zZhRPYmZ3B,94,5YGY8feqx7naU7z4HrwZM6
Kelly Clarkson,Heartbeat Song,7FC9Lng8iXU081lbigu8m8,66,3BmGtnKgCSGYIUhmivXKWX
Sigala,Sweet Lovin' - Radio Edit,1qp0ptMXNg9hqLH8sk7cc2,67,1IueXOQyABrMOprrzwQJWN
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,77,4sTQVOfp9vEMCemLw50sbu
Jain,Makeba - Ian Asher Remix,67eYAnkdTu8BMcIx29z26L,76,2HHmvvSQ44ePDH7IKVzgK0
Harrison,Yellow,7Cs64XXRHwh7FY4CwR2aQO,42,58O8UPrTdl4u2buM0skj94
Peggy Gou,(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,94,2mLA48B366zkELXYx7hcDN
Karma Child,Close To Midnight,3lddOGjaShpzoNE7Im666L,37,4BThBqcTzRGFRvbddMykk7
Calvin Harris,Desire (with Sam Smith),22dUzMFttcR3uU17NcOAIv,87,7CajNmpbOovFoOoasH2HaY
Ian Storm,Barely Alive,7MloegrrB2jp7SNPMEGWqs,39,6fllSzvyC7OruOFZisOELq
Harrison,Anti Hero,1rLX3vtCSy75DSt2qNg7JM,40,58O8UPrTdl4u2buM0skj94
Dillistone,Lost,7ihVBzv0Gz10R2OnyBDuEk,42,7ypPN35cJ9wfF2Zs7aYS33
Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,81,6DgP9otnZw5z6daOntINxp
Boye & Sigvardt,Involved,2fzhcIVl8mja7p55XW4wbK,41,5waIYqZSsMaTQqdL4QnqyR
Alex Adair,Keep It Burning,7Ewp4wV3NqvQb1qBeUc6ek,60,1mrrvBvbrm28iYaPlJ9mG5
Ian Storm,Feel Like Dancing,404MLvCUTawxMkDquPsq24,17,6fllSzvyC7OruOFZisOELq
Ian Storm,Run Away,0b02ZHphmQGm0lRtHyDDTH,48,6fllSzvyC7OruOFZisOELq
Bless You,Save Me,7cgG4VayFME68jToNQyEJH,41,0YFOK5sYNqbCJEgD0xOti9
Jax Jones,Whistle (feat. Calum Scott),4q05KbxYZ5JdkmrletgPjF,82,4Q6nIcaBED8qUel8bBx6Cr
Nu Aspect,Sinner,1WumDA51R5dHvmRVhmoP6t,72,4NhRml5ZOfNaYJAHUE0XwT
Feb,Lose My Breath,6gxVV1r9nHe9M6BNAwDD38,40,6lc0muqqPZVQsaTsNCyuRa
Marc Benjamin,Found Love,52jJKR0TEmEqEibvZcxozY,38,05KjvP5zdwtEIgEazqblZw
Mosimann,Milkshake,10Nmb8R4aYt93qHkHoeckY,38,7sAqpkrQBaOkddsv1Tz1XK
DEW,Superstar,03VWanDhJbtypWQ2hMhkDX,38,2vmOFh6rLOZVBsAMvfimr3
ACRAZE,Do It To It,20on25jryn53hWghthWWW3,83,4pnp4w9g30yLfVIAFnZMRd
SAINT.,Someone Else 's Love,3R4titXnzWyZzV7aYjKshT,24,4PJPu8KnXK18EAZheLcxwK
Calvin Harris,Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ,90,7CajNmpbOovFoOoasH2HaY
Ugg'A,Libre,58S6bHSWgI9mFiTBlWy56R,29,2eAVygHxvbYA7CtF7bv5vC
SAINT.,Stay Right Here,0IDGbb3NY9pJoMzfkI4Jt4,38,4PJPu8KnXK18EAZheLcxwK
JLV,Into Me,2GCAF5wMsd2UxtW3gr6pqv,33,5CBNhusqki2s2jp4Lo6i2L
Deepend,Summer Of Love,4S789WIWjSwjwHysiP7EMm,33,0uGApGjjFXKwUOAqYBeX7B
Martin Jensen,Worship You,3sfqnnaJ6MkUO32W89jVup,42,4ehtJnVumNf6xzSCDk8aLB
Peer Pressure,Lose It,00SR68yKLJwnJqHICX8SZx,38,7ecIJx38Dwdtdguyzhvt4k
Mafo,Memories,2wmcHrj6taqCnP0KKWp9JR,33,320pR8mB5EktKcwRSAm3Ms
TOOMANYLEFTHANDS,Mucho Mambo (Sway),0vN51nuMbDqI6tZQekIFB6,38,5tCPpDoXfTKy5yTongtDAT
Cladigal,Someone Else,0kgngvN1pR1MHDGV3KilPe,28,6xolTfoP9iAYak6NtI6xIV
TECH IT DEEP,Maria Maria,4wP6mzWZC94dYmU6OYeljf,75,0zG1jPdH10g3d0dZINMYkw
Badscandal,So High,5LwFDxTnyK4GWhLmp2ChUb,28,29kaubgb6Esvwu0idVndGy
Harrison,Flowers (feat. STORi),4g7DaZ1itKdxqVJqGdb0HP,37,58O8UPrTdl4u2buM0skj94
Wadi,NOW!,3laOhd9QWAHXpOS5AQZ8Rz,36,0cg1dZt1fxg4ei0nXsrxNg
Morten Hampenberg,Easy,5sDsJTZWHoXZfLgVXzW6fb,34,2WBWT3U7OrHDODuZo8n5ee
Harrison,As It Was,63XMsFx754msFFp4u88Lyy,38,58O8UPrTdl4u2buM0skj94
Alok,All By Myself,5Hp4xFihdOE2dmDzxWcBFb,78,0NGAZxHanS9e0iNHpR8f2W
WISEKIDS,Go,0N39VNE62y5Ln2z4zWvypj,33,6OXzciYkZCsfLnechSnFR2
INNERVERSE,Allein Allein,2bpHc7nCduKQWJVNqJ4mDj,67,0lIiVp6FVbJR2utszYQhNf
Low Blow,Consumers,3J9tou6tbZLBJ9MrvIA0EK,32,4Jr5ULT8PKTOiBhTUZR9RQ
Martin Jensen,What A Night,2KRZKioWRWSmqo01Uq32RN,56,4ehtJnVumNf6xzSCDk8aLB
BUTTER,No Superstar (feat. Boxter),26rEP2SajbK5tihvIIjyq7,35,5SOSqzQyhsHTTuxAMGPkaO
Ian Storm,Compasso Brasileiro (feat. Denise Krammer),6edsNtaVJzuBJjAGt6IhoX,34,6fllSzvyC7OruOFZisOELq
Willy Beaman,Willing To Give,4tOQlhYV8uAfCHTLctSygb,30,0ZdCJB39o81l85QK7PgTTe
