artist_name,track_name,track_id,track_popularity,artist_id
Gunna,fukumean,4rXLjWdF2ZZpXCVTfWcshS,96,2hlmm7s2ICUX0LVIhVFlZQ
Olivia Rodrigo,vampire,3k79jB4aGmMDUQzEwa46Rz,97,1McMsnEElThX1knmY4oliG
Travis Scott,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,94,0Y5tJX1MQlPlqiwlOH1tJY
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,98,6qqNVTkY8uBg9cP3Jd7DAH
Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,91,718COspgdWOnwOFpJHRZHS
Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,95,0hCNtLu0JehylgoiP8L4Gh
Travis Scott,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,94,0Y5tJX1MQlPlqiwlOH1tJY
Travis Scott,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,93,0Y5tJX1MQlPlqiwlOH1tJY
Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,94,5cj0lLjcoR7YOSnhnX0Po5
Dua Lipa,Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA,97,6M2wZ9GZgrQXHCFfjv46we
Jung Kook,Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,100,6HaGTQPmzraVmaVxvz6EUc
Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,89,4oUHIQIBe0LHzYfvXNW4QM
Morgan Wallen,Last Night,7K3BhSpAxZBznislvUMVtn,88,4oUHIQIBe0LHzYfvXNW4QM
Travis Scott,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,92,0Y5tJX1MQlPlqiwlOH1tJY
Oliver Anthony Music,Rich Men North of Richmond,78Du4CMFgnhdlG33gblkiP,87,6IkfE2JyVoKwBZXvuytKX3
PinkPantheress,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,91,78rUTD7y6Cy67W1RVzYs7t
Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,91,06HL4z0CvFAxyc27GXpf02
Morgan Wallen,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,86,4oUHIQIBe0LHzYfvXNW4QM
Yng Lvcas,La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,96,1NNRWkhwmcXRimFYSBpB1y
Olivia Rodrigo,bad idea right?,2i8f4VnnBjy0yDqH2C452a,91,1McMsnEElThX1knmY4oliG
Bad Bunny,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,96,4q3ewBCX7sLwd24euuV69X
Bailey Zimmerman,Religiously,0bILU0UiNDmA5Ff6whhb2R,86,3win9vGIxFfBRag9S63wwf
Peso Pluma,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,94,12GqGscKJx3aE4t07u7eVZ
Morgan Wallen,You Proof,5W4kiM2cUYBJXKRudNyxjW,86,4oUHIQIBe0LHzYfvXNW4QM
NewJeans,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,95,6HvZYsbFfjnjFrWF950C9d
Eslabon Armado,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,93,0XeEobZplHxzM9QzFQWLiR
Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,87,3TVXtAsR1Inumwj472S9r4
Travis Scott,MY EYES,4kjI1gwQZRKNDkw1nI475M,90,0Y5tJX1MQlPlqiwlOH1tJY
David Kushner,Daylight,1odExI7RdWc4BT515LTAwj,96,33NVpKoXjItPwUJTMZIOiY
Travis Scott,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,89,0Y5tJX1MQlPlqiwlOH1tJY
FIFTY FIFTY,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,94,4GJ6xDCF5jaUqD6avOuQT6
Grupo Frontera,un x100to,6pD0ufEQq0xdHSsRbg9LBK,94,6XkjpgcEsYab502Vr1bBeW
Jimin,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,94,1oSPZhvZMIrWW5I41kPkkY
Noah Kahan,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,87,2RQXRUsr4IW1f3mKyKsy4B
Laufey,From The Start,1Ukxccao1BlWrPhYkcXbwZ,89,7gW0r5CkdEUMm42w9XpyZO
Myke Towers,LALA,7ABLbnD53cQK00mhcaOUVG,99,7iK8PXO48WeuP03g8YR51W
Fuerza Regida,SABOR FRESA,1UMm1Qs3u59Wvk53zBUE8r,92,0ys2OFYzWYB5hRDLCsBqxt
Junior H,El Azul,1haJsMtoBhHfvuM7XWuT3W,91,7Gi6gjaWy3DxyilpF1a8Is
Fuerza Regida,TQM,368eeEO3Y2uZUQ6S5oIjcu,92,0ys2OFYzWYB5hRDLCsBqxt
Travis Scott,HYAENA,0hL9gOw6XBWsygEUcVjxEc,89,0Y5tJX1MQlPlqiwlOH1tJY
Travis Scott,K-POP,5L3ecxQnQ9qTBmnLQiwf0C,92,0Y5tJX1MQlPlqiwlOH1tJY
Peso Pluma,TULUM,7bPp2NmpmyhLJ7zWazAXMu,93,12GqGscKJx3aE4t07u7eVZ
Travis Scott,THANK GOD,1PH2MDbcBAU094DlgTIND1,89,0Y5tJX1MQlPlqiwlOH1tJY
Lil Durk,All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,88,3hcs9uc56yIGFCSy9leWe7
Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",5AqiaZwhmC6dIbgWrD5SzV,92,716NhGYqD1jl2wI1Qkgq36
Ice Spice,Deli,5JYPXqMwYc0zTODQdjMEZN,86,3LZZPxNDGDFVSIPqf4JuEf
Lil Uzi Vert,Flooded The Face,4daEMLSZCgZ2Mt7gNm2SRa,85,4O15NlyKLIASxsJ0PrXPfz
Travis Scott,MODERN JAM (feat. Teezo Touchdown),3KCNiDi9Pza6ZD8FggNoaw,88,0Y5tJX1MQlPlqiwlOH1tJY
Taylor Swift,Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,89,06HL4z0CvFAxyc27GXpf02
The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,93,1Xyo4u8uXC1ZmMpatF05PJ
Lil Durk,Stand By Me (feat. Morgan Wallen),1fXnu2HzxbDtoyvFPWG3Bw,83,3hcs9uc56yIGFCSy9leWe7
Zach Bryan,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1,84,40ZNYROS4zLfyyBSs2PGe2
