cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_87,unknown_88,unknown_90
0,0.61,569.2,0.0,0.0,96,509055056.0,278629435.0,25,2023-05-12 17:01:35,0,300,
0,1.34,569.2,0.0,0.0,96,,,25,2023-05-12 17:01:36,0,100,
81,1.34,571.2,1.362,0.0,115,509058505.0,278628557.0,25,2023-05-12 17:02:05,0,100,
80,2.45,571.4000000000001,1.362,0.0,113,509058665.0,278628408.0,25,2023-05-12 17:02:06,0,100,
76,7.16,571.4000000000001,1.502,0.5,115,509058997.0,278627770.0,25,2023-05-12 17:02:09,0,100,
75,8.56,571.4000000000001,1.661,0.0,116,509059093.0,278627543.0,25,2023-05-12 17:02:10,0,100,
75,11.74,571.5999999999999,1.661,0.0,119,509059283.0,278627046.0,25,2023-05-12 17:02:12,0,100,
78,18.07,571.5999999999999,1.652,0.0,122,509059520.0,278625876.0,25,2023-05-12 17:02:16,0,100,
82,26.35,571.8,1.959,0.0,123,509059759.0,278624373.0,25,2023-05-12 17:02:20,0,100,
78,31.27,572.2,2.006,0.0,125,509059842.0,278623558.0,25,2023-05-12 17:02:23,0,100,
79,32.28,572.4000000000001,2.006,0.0,125,509059863.0,278623290.0,25,2023-05-12 17:02:24,0,100,
81,35.34,572.8,1.894,0.0,128,509059891.0,278622759.0,25,2023-05-12 17:02:26,0,100,
78,40.44,573.5999999999999,1.847,0.5,127,509059978.0,278621933.0,25,2023-05-12 17:02:29,0,100,
77,46.15,574.0,1.819,0.0,128,509060230.0,278621129.0,25,2023-05-12 17:02:32,0,100,
76,47.61,574.2,1.782,0.5,126,509060328.0,278620635.0,25,2023-05-12 17:02:34,0,100,
75,49.84,573.5999999999999,1.577,0.5,127,509060238.0,278619926.0,25,2023-05-12 17:02:38,0,100,
76,52.66,573.4000000000001,1.465,0.5,128,509060114.0,278619406.0,25,2023-05-12 17:02:40,0,100,
77,59.77,573.5999999999999,1.95,0.0,127,509059869.0,278618443.0,25,2023-05-12 17:02:43,0,100,
78,63.6,574.0,1.95,0.0,128,509059667.0,278617767.0,24,2023-05-12 17:02:46,0,100,
77,64.3,574.0,1.558,0.0,129,509059614.0,278617483.0,24,2023-05-12 17:02:47,0,100,
77,65.51,574.0,1.194,0.5,129,509059560.0,278617204.0,24,2023-05-12 17:02:48,0,100,
77,67.08,574.0,1.194,0.5,129,509059467.0,278616956.0,24,2023-05-12 17:02:49,0,100,
78,71.12,574.0,1.372,0.0,132,509059309.0,278616358.0,24,2023-05-12 17:02:51,0,100,
79,81.77,574.0,1.67,0.0,133,509058925.0,278615007.0,24,2023-05-12 17:02:55,0,100,
76,92.59,574.2,1.819,0.5,133,509058647.0,278613215.0,24,2023-05-12 17:03:00,0,100,
76,94.62,574.2,1.782,0.5,133,509058619.0,278612889.0,24,2023-05-12 17:03:01,0,100,
79,100.44,574.2,1.773,0.0,136,509058332.0,278611999.0,24,2023-05-12 17:03:04,0,100,
80,107.52,574.2,1.764,0.0,138,509057931.0,278610966.0,24,2023-05-12 17:03:08,0,100,
81,116.11,574.5999999999999,1.689,0.0,138,509057406.0,278609409.0,24,2023-05-12 17:03:13,0,100,
79,121.08,574.5999999999999,1.642,0.0,139,509057063.0,278608426.0,24,2023-05-12 17:03:16,0,100,
80,130.71,574.2,1.661,0.0,140,509056617.0,278606966.0,24,2023-05-12 17:03:20,0,100,
79,135.27,574.4000000000001,1.698,0.5,138,509056391.0,278606094.0,24,2023-05-12 17:03:22,0,100,
75,148.2,574.2,1.81,0.5,142,509056017.0,278603827.0,24,2023-05-12 17:03:26,0,100,
79,156.59,574.2,1.847,0.0,141,509055633.0,278602896.0,24,2023-05-12 17:03:28,0,100,
80,173.82,574.0,2.183,0.0,141,509054454.0,278601178.0,24,2023-05-12 17:03:33,0,100,
79,193.67,574.2,2.435,0.0,140,509053492.0,278599271.0,24,2023-05-12 17:03:39,0,100,
78,208.75,574.4000000000001,2.491,0.0,139,509052610.0,278597777.0,23,2023-05-12 17:03:44,0,100,
78,211.14,574.4000000000001,2.491,0.0,140,509052506.0,278597467.0,23,2023-05-12 17:03:45,0,100,
79,223.47,574.4000000000001,2.473,0.0,138,509052128.0,278596098.0,23,2023-05-12 17:03:50,0,100,
80,237.09,574.5999999999999,2.398,0.0,141,509051620.0,278594362.0,23,2023-05-12 17:03:56,0,100,
80,239.74,574.8,2.37,0.0,142,509051464.0,278594012.0,23,2023-05-12 17:03:57,0,100,
80,246.62,575.4000000000001,2.361,0.0,141,509051105.0,278592954.0,23,2023-05-12 17:04:00,0,100,
80,248.56,575.5999999999999,2.351,0.0,141,509051030.0,278592636.0,23,2023-05-12 17:04:01,0,100,
80,250.38,575.5999999999999,2.351,0.0,142,509050953.0,278592280.0,23,2023-05-12 17:04:02,0,100,
79,264.07,575.2,2.267,0.5,141,509050315.0,278589906.0,23,2023-05-12 17:04:09,0,100,
78,275.4,575.0,2.239,0.5,140,509049677.0,278588112.0,23,2023-05-12 17:04:14,0,100,
79,298.56,575.4000000000001,2.361,0.0,140,509049237.0,278585076.0,23,2023-05-12 17:04:21,0,100,
