danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,is_running
0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,3KliPMvk1EvFZu9cvkj8p1,4,1
0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,3AzjcOeAmA57TIOr9zF1ZW,4,1
0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,4,1
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,4,1
0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,2gZUPNdnz5Y45eiGxpHGSc,4,1
0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,76hfruVvmfQbw0eYn1nmeC,4,1
0.591,0.606,2,-9.79,1,0.0315,0.00903,0.000148,0.221,0.423,150.072,6izndsBZvyN6goqhfePz1e,4,1
0.879,0.665,11,-6.082,0,0.145,0.164,0.0,0.319,0.672,123.977,4DJORZgsbqnEJ4f4B9TBGV,4,1
0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,2HHtWyy5CgaQbC7XSoOb0e,4,1
0.647,0.8,7,-5.384,1,0.165,0.0647,0.0,0.334,0.942,160.078,0cqRj7pUJDkTCEsJkx8snD,4,1
0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,2ygMBIctKIAfbEBcT9065L,4,1
0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,1kKYjjfNYxE0YYgLa7vgVY,4,1
0.595,0.887,7,-3.607,1,0.0387,0.00198,3.91e-05,0.0518,0.571,124.073,7gEbuXht8gYcA5OdN9zUpy,4,1
0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,5VxmI3IdgAxWVvUnJoLuY2,4,1
0.677,0.881,1,-3.534,0,0.054,0.00445,0.0146,0.359,0.566,128.121,5MgBUUjbkQ27Kd9CbeZFLo,4,1
0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,22skzmqfdWrjJylampe0kt,4,1
0.606,0.72,5,-6.253,0,0.0283,0.000149,0.00165,0.0745,0.178,127.985,1mzGywacjpeik00PVLBPpF,4,1
0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,0boS4e6uXwp3zAvz1mLxZS,4,1
0.434,0.722,0,-6.388,1,0.0351,0.462,0.773,0.05,0.453,95.637,7iXYRR70wewzVYzWScm99j,4,1
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,1gihuPhrLraKYrJMAEONyc,4,1
0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,3RauEVgRgj1IuWdJ9fDs70,4,1
0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.281,174.983,6yraFyhgbavO2amB2lhpfi,4,1
0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,2J2Z1SkXYghSajLibnQHOa,4,1
0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,0j2T0R9dR9qdJYsB7ciXhf,4,1
0.535,0.786,7,-4.152,0,0.043,0.0117,0.0,0.177,0.568,147.885,4R6TWBDqFeJBQnBtha4zDh,4,1
0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,13Irp51zj01BZu2XtDrnAg,4,1
0.724,0.733,11,-5.539,0,0.0382,0.0249,0.000318,0.127,0.672,125.993,4Vbz3osCh6DwHYv5gVv5H2,4,1
0.578,0.946,11,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092,57yeWyaoeTt26p0dlEZukQ,4,1
0.642,0.842,6,-4.13,1,0.114,0.206,1.11e-06,0.342,0.278,139.89,2Vewxhl9sD0IhO9Az4qLS5,4,1
0.472,0.6,9,-9.368,0,0.0367,0.508,0.833,0.167,0.195,90.948,0WKpYDw1WNmQbFiEURDgeI,4,1
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,22dUzMFttcR3uU17NcOAIv,4,1
0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,7ju97lgwC2rKQ6wwsf9no9,4,1
0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,6JV2JOEocMgcZxYSZelKcc,4,1
0.703,0.925,7,-4.458,0,0.0427,0.0516,0.00835,0.251,0.424,126.005,2QsZwIY3oncsQSH0EMmUPr,4,1
0.319,0.846,6,-6.109,1,0.0796,0.0103,4.11e-05,0.475,0.0784,139.163,5yZvaUVyuXfSVUaMumFi6l,4,1
0.421,0.831,4,-5.128,1,0.106,0.0283,0.0,0.464,0.488,134.184,76EeScTnI2sCjDY0SfEoSb,4,1
0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,4,1
0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,3PfIrDoz19wz7qK7tYeu62,4,1
0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,0b02ZHphmQGm0lRtHyDDTH,4,1
0.587,0.806,1,-5.098,1,0.0344,0.00179,1.56e-06,0.0928,0.404,122.971,2MaGdDg1cbXTywMf93cEZt,4,1
0.799,0.892,10,-4.999,0,0.0358,0.0189,0.00131,0.0591,0.934,125.023,3ck2KxuP99yTwWzdf8piiC,4,1
0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,1gUwi1o1S9W9P0FQgJdY8s,4,1
0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,6Dy1jexKYriXAVG6evyUTJ,4,1
0.626,0.541,11,-7.769,0,0.0502,0.344,1.06e-05,0.121,0.326,124.18,2KRZKioWRWSmqo01Uq32RN,4,1
0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,7MmG8p0F9N3C4AXdK6o6Eb,4,1
0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,12PNcnMsjsZ3eHm62t8hiy,4,1
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4DHcnVTT87F0zZhRPYmZ3B,4,1
0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,7FC9Lng8iXU081lbigu8m8,4,1
0.68,0.85,10,-2.785,1,0.0661,0.207,1.98e-06,0.339,0.71,124.942,1qp0ptMXNg9hqLH8sk7cc2,4,1
0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,5K6Ssv4Z3zRvxt0P6EKUAP,4,1
0.651,0.937,7,-4.078,1,0.0468,0.236,0.0975,0.119,0.666,123.993,67eYAnkdTu8BMcIx29z26L,4,1
0.676,0.741,11,-8.899,1,0.0321,0.0768,0.0275,0.223,0.22,126.005,7Cs64XXRHwh7FY4CwR2aQO,4,1
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,23RoR84KodL5HWvUTneQ1w,4,1
0.653,0.757,7,-5.341,1,0.0294,0.0114,0.00206,0.379,0.42,123.983,3lddOGjaShpzoNE7Im666L,4,1
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,22dUzMFttcR3uU17NcOAIv,4,1
0.384,0.962,6,-3.076,0,0.102,0.00623,0.0,0.156,0.44,75.122,7MloegrrB2jp7SNPMEGWqs,4,1
0.687,0.794,1,-6.531,0,0.0594,0.108,0.0,0.112,0.262,123.024,1rLX3vtCSy75DSt2qNg7JM,4,1
0.789,0.753,3,-6.356,0,0.0457,0.178,0.151,0.102,0.434,124.962,7ihVBzv0Gz10R2OnyBDuEk,4,1
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,6cx06DFPPHchuUAcTxznu9,4,1
0.7,0.865,10,-4.629,0,0.0466,0.00123,0.0724,0.183,0.261,125.009,2fzhcIVl8mja7p55XW4wbK,4,1
0.7,0.852,5,-5.829,0,0.0317,0.00135,0.641,0.0856,0.449,135.035,7Ewp4wV3NqvQb1qBeUc6ek,4,1
0.641,0.748,6,-6.202,0,0.0705,0.0756,0.0,0.0833,0.515,114.019,404MLvCUTawxMkDquPsq24,4,1
0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,0b02ZHphmQGm0lRtHyDDTH,4,1
0.703,0.699,1,-4.479,1,0.0417,0.000612,0.872,0.0702,0.687,124.035,7cgG4VayFME68jToNQyEJH,4,1
0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,4,1
0.707,0.934,0,-5.911,1,0.0395,0.0967,0.207,0.085,0.546,135.99,1WumDA51R5dHvmRVhmoP6t,4,1
