artist_name,track_name,track_id,track_popularity,artist_id,is_running,genre
Kanye West,Stronger,0j2T0R9dR9qdJYsB7ciXhf,84,5K4W6rqBFWDnAN6FQUkS6x,1,"['chicago rap', 'hip hop', 'rap']"
Elton John,Cold Heart - Claptone Remix,3ck2KxuP99yTwWzdf8piiC,64,3PhoLpVuITZKcymswpck5b,1,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
Eminem,Lose Yourself,1v7L65Lzy0j0vdpRjJewt1,83,7dGJo4pcD2V6oG8kP0tJRR,1,"['detroit hip hop', 'hip hop', 'rap']"
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,85,5BcAKTbp20cv7tC5VqPFoC,1,"['pop rap', 'seattle hip hop']"
Woodkid,Run Boy Run,0boS4e6uXwp3zAvz1mLxZS,73,44TGR1CzjKBxSHsSEy7bi9,1,['chamber pop']
Bill Conti,"Gonna Fly Now - Theme From ""Rocky""",7iXYRR70wewzVYzWScm99j,64,272ygo5fv9cYsiCLcV0HV2,1,['theme']
Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,88,1vCWHaC5f2uS3yhpwWbIA6,1,"['edm', 'pop', 'pop dance']"
Lizzo,2 Be Loved (Am I Ready),13Irp51zj01BZu2XtDrnAg,77,56oDRnqbIiwx4mymNEv7dS,1,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
OneRepublic,Run,6KL88T4Ma4ABXqzgUoEwkd,77,5Pwc4xIPtQLFEnJriah9YJ,1,"['piano rock', 'pop']"
Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,87,06HL4z0CvFAxyc27GXpf02,1,['pop']
Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,81,6DgP9otnZw5z6daOntINxp,1,"['dance pop', 'pop dance', 'uk dance']"
Kanye West,POWER,2gZUPNdnz5Y45eiGxpHGSc,80,5K4W6rqBFWDnAN6FQUkS6x,1,"['chicago rap', 'hip hop', 'rap']"
Naughty Boy,Runnin' (Lose It All),5yZvaUVyuXfSVUaMumFi6l,69,1bT7m67vi78r2oqvxrP3X5,1,['uk contemporary r&b']
Kygo,Higher Love,1kKYjjfNYxE0YYgLa7vgVY,74,23fqKkggKUBHNkbKtXEls4,1,"['edm', 'pop', 'pop dance', 'tropical house']"
Zara Larsson,Can't Tame Her,4vOoQh9MhS9pyrbvc8LyMz,81,1Xylc3o4UrD53lo9CvFvVg,1,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
